,NSE,NSE,NSE,NSE,NSE,NSE,NSE,NSE,NSE
,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ
,Rs.,Rs.,Rs.,Rs.,Rs.,Rs.,Rs.,Rs.,Rs.
,3-Jul-12,1-Oct-12,1-Jan-13,1-Apr-13,1-Jul-13,1-Oct-13,1-Jan-14,1-Apr-14,1-Jul-14
Company Name,Adjusted Closing Price ,Adjusted Closing Price ,Adjusted Closing Price ,Adjusted Closing Price ,Adjusted Closing Price ,Adjusted Closing Price ,Adjusted Closing Price ,Adjusted Closing Price ,Adjusted Closing Price 
A C C Ltd.,1295.4,1458,1431.1,1160.9,1220.05,1099.4,1108.45,1389.1,1480.6
Adani Enterprises Ltd.,238.15,198.1,275.9,206.8,216.15,141.35,268.75,352.7,458.6
Adani Ports & Special Economic Zone Ltd.,124.05,125.5,137.8,142.45,151.55,138.7,156.3,186.3,244.2
Adani Power Ltd.,51.9,51.85,64.15,42.2,42.6,31.9,39.45,47.95,63.55
Aditya Birla Nuvo Ltd.,805.1,899.2,1115.45,984.55,1095,1248,1238,1090.8,1398.65
Allahabad Bank,150.95,148.8,174.7,129.5,94.65,78.4,96.45,89.7,141.3
Ambuja Cements Ltd.,175.55,209.5,201.8,174.25,189.05,180,183.65,203.15,223.75
Andhra Bank,118.9,113.9,122,96.3,84.45,52.3,64,62.9,100.85
Apollo Tyres Ltd.,77.95,92.1,89.4,86.1,60.4,65.45,104.8,162.3,203.3
Arvind Ltd.,76.5,82.2,101.65,79.6,79.45,80.05,138.85,178.9,235
Ashok Leyland Ltd.,24.4,24,27.3,22.15,20.65,15,17.2,22.6,36.75
Asian Paints Ltd.,394.03,393.97,442.31,495.5,471.25,454.35,499.75,536.65,583.85
Aurobindo Pharma Ltd.,58.15,72.17,96.72,75.97,93.45,104.5,195.85,267.15,366.1
Axis Bank Ltd.,208.81,226.14,272.54,262.98,269.76,208.82,258.44,293.7,384.01
Bajaj Auto Ltd.,1561.95,1810.4,2131.9,1781.3,1922.9,2020,1917.4,2065.2,2334.7
Bank Of Baroda,144.84,156.93,176.71,136.94,118.18,99.68,131.47,147.37,175.65
Bank Of India,352.5,309.6,359.6,308.75,242.05,166.3,243.15,223.9,304.5
Bata India Ltd.,443.75,485.4,437.6,361.63,419.6,428.85,533.83,565.1,640.1
Bharat Forge Ltd.,307.65,309.55,256.9,203.85,224.2,256.5,328.65,417.35,652.8
Bharat Heavy Electricals Ltd.,231.15,251.6,232.6,182.5,179.25,141.15,175.4,194.5,252.45
Bharat Petroleum Corpn. Ltd.,379.98,351.5,356.3,377,374.35,326.35,349.2,446.9,589.6
Bharti Airtel Ltd.,318.7,265.05,322.1,293.65,296.15,322.6,337.75,315.35,335.5
Biocon Ltd.,240.4,284.4,289.3,286.65,284.5,333.7,469.2,430.95,523.95
C E S C Ltd.,298.45,339,320.25,272.7,340.6,340.6,464.6,504,685.85
Cairn India Ltd.,313,329,320.95,286.05,293.6,317.75,323.6,344.95,363.25
Canara Bank,419.9,436.8,516,390.35,384.55,226.85,285.2,261.1,461.4
Century Textiles & Inds. Ltd.,317.5,369.75,424.6,296.35,269.3,245.45,314.2,365.05,610
Chambal Fertilisers & Chemicals Ltd.,74.6,74.4,67.65,51.25,38.6,35.75,40.75,40.3,58
Cipla Ltd.,314.05,378.9,417.45,384.6,397.75,431.9,401.75,381.5,437.25
Coal India Ltd.,356.9,357.6,359.95,305.1,305,297.5,292.2,290.5,384.45
Colgate-Palmolive (India) Ltd.,596.7,602.38,779.85,638.4,674.67,630.23,680.45,675.8,765.23
Crompton Greaves Ltd.,131.45,125.5,119.15,93.85,89.9,87.4,129.5,157.35,203.3
D L F Ltd.,213.2,229,235.35,253.2,189.1,136.9,170.1,175,216.55
Dabur India Ltd.,112.95,128,129.4,141.85,155.3,168.05,172,188.35,187
Dena Bank,98.7,108.95,120.15,91.7,72.35,46.6,61.85,59.3,83.55
Dish T V India Ltd.,65.15,82.05,77.5,68,61.95,52,60.8,52.7,63.05
Divi'S Laboratories Ltd.,514.52,561.02,549.13,497.85,494.75,496.43,613.52,674.4,735.45
Dr. Reddy'S Laboratories Ltd.,1668.6,1646.45,1835.75,1825.9,2263.8,2407.65,2537.45,2601,2614.95
Exide Industries Ltd.,138.95,153.6,143.2,130.15,122.85,134.8,123.8,122.3,149.7
Federal Bank Ltd.,45.07,44.96,53.96,48.45,41.76,28.56,43.15,46.9,65.65
Financial Technologies (India) Ltd.,767.6,972.35,1138.3,737.55,789.75,144.45,188,363.6,256.3
Future Retail Ltd.,192.28,209.11,257.75,151.88,93.51,72.47,78.72,82.09,137.39
G A I L (India) Ltd.,361.85,382.6,357.4,321.35,324.9,324.8,343.45,374.95,460.8
